Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r,District ID,Rating Standardized,Rating Signed v27
Chris Deluzio (D) vs Tony Guy (R),PA-17,Chris Deluzio,Tony Guy,D+22.7,-22.7,Safe D,100,N,0,PA-17,Safe D,4.0
Gabe Amo (D) vs Eventual Nominee (R),RI-01,Gabe Amo,Eventual Nominee,D+40.5,-40.5,Safe D,100,N,0,RI-01,Safe D,4.0
Seth Magaziner (D) vs Eventual Nominee (R),RI-02,Seth Magaziner,Eventual Nominee,D+20.3,-20.3,Safe D,100,N,0,RI-02,Safe D,4.0
Nancy Lacore (D) vs Jenny Costa Honeycutt (R),SC-01,Nancy Lacore,Jenny Costa Honeycutt,R+4.4,4.4,Lean R,26,N,74,SC-01,Lean R,-2.0
Zyon Khalifa (D) vs Joe Wilson (R),SC-02,Zyon Khalifa,Joe Wilson,R+13.2,13.2,Safe R,3,N,97,SC-02,Safe R,-4.0
Eunice Lehmacher (D) vs Sheri Biggs (R),SC-03,Eunice Lehmacher,Sheri Biggs,R+44.2,44.2,Safe R,0,N,100,SC-03,Safe R,-4.0
Courtney McClain (D) vs William Timmons (R),SC-04,Courtney McClain,William Timmons,R+22.0,22.0,Safe R,0,N,100,SC-04,Safe R,-4.0
Mallory Dittmer (D) vs Wes Climer (R),SC-05,Mallory Dittmer,Wes Climer,R+18.4,18.4,Safe R,1,N,99,SC-05,Safe R,-4.0
Jim Clyburn (D) vs John Peterson (R),SC-06,Jim Clyburn,John Peterson,D+33.6,-33.6,Safe D,100,N,0,SC-06,Safe D,4.0
John Vincent (D) vs Russell Fry (R),SC-07,John Vincent,Russell Fry,R+24.3,24.3,Safe R,0,N,100,SC-07,Safe R,-4.0
Nikki Gronli (D) vs Marty Jackley (R),SD-AL,Nikki Gronli,Marty Jackley,R+22.1,22.1,Safe R,0,N,100,SD-AL,Safe R,-4.0
Kristie Burke (D) vs Diana Harshbarger (R),TN-01,Kristie Burke,Diana Harshbarger,R+51.9,51.9,Safe R,0,N,100,TN-01,Safe R,-4.0
Michaela Barnett (D) vs Tim Burchett (R),TN-02,Michaela Barnett,Tim Burchett,R+29.7,29.7,Safe R,0,N,100,TN-02,Safe R,-4.0
Anna Golladay (D) vs Chuck Fleischmann (R),TN-03,Anna Golladay,Chuck Fleischmann,R+30.8,30.8,Safe R,0,N,100,TN-03,Safe R,-4.0
Victoria Broderick (D) vs Scott DesJarlais (R),TN-04,Victoria Broderick,Scott DesJarlais,R+15.6,15.6,Safe R,2,N,98,TN-04,Safe R,-4.0
Chaz Molder (D) vs Charlie Hatcher (R),TN-05,Chaz Molder,Charlie Hatcher,R+11.8,11.8,Safe R,4,N,96,TN-05,Safe R,-4.0
Mike Croley (D) vs Johnny Garrett (R),TN-06,Mike Croley,Johnny Garrett,R+19.1,19.1,Safe R,0,N,100,TN-06,Safe R,-4.0
Joshua Sales (D) vs Matt Van Epps (R),TN-07,Joshua Sales,Matt Van Epps,R+16.2,16.2,Safe R,1,N,99,TN-07,Safe R,-4.0
Heidi Kuhn (D) vs David Kustoff (R),TN-08,Heidi Kuhn,David Kustoff,R+17.5,17.5,Safe R,1,N,99,TN-08,Safe R,-4.0
Justin Pearson (D) vs Brent Taylor (R),TN-09,Justin Pearson,Brent Taylor,R+11.1,11.1,Safe R,5,Y,95,TN-09,Safe R,-4.0
Yolanda Prince (D) vs Nathaniel Moran (R),TX-01,Yolanda Prince,Nathaniel Moran,R+45.8,45.8,Safe R,0,N,100,TX-01,Safe R,-4.0
Shaun Finnie (D) vs Steve Toth (R),TX-02,Shaun Finnie,Steve Toth,R+10.8,10.8,Likely R,6,N,94,TX-02,Likely R,-3.0
Evan Hunt (D) vs Keith Self (R),TX-03,Evan Hunt,Keith Self,R+17.2,17.2,Safe R,1,N,99,TX-03,Safe R,-4.0
Jason Pearce (D) vs Pat Fallon (R),TX-04,Jason Pearce,Pat Fallon,R+20.6,20.6,Safe R,0,N,100,TX-04,Safe R,-4.0
Chelsey Hockett (D) vs Lance Gooden (R),TX-05,Chelsey Hockett,Lance Gooden,R+15.6,15.6,Safe R,1,N,99,TX-05,Safe R,-4.0
Danny Minton (D) vs Jake Ellzey (R),TX-06,Danny Minton,Jake Ellzey,R+17.3,17.3,Safe R,1,N,99,TX-06,Safe R,-4.0
Lizzie Fletcher (D) vs Alexander Hale (R),TX-07,Lizzie Fletcher,Alexander Hale,D+39.2,-39.2,Safe D,100,N,0,TX-07,Safe D,4.0
Laura Jones (D) vs Jessica Hart Steinmann (R),TX-08,Laura Jones,Jessica Hart Steinmann,R+19.6,19.6,Safe R,0,N,100,TX-08,Safe R,-4.0
Leticia Gutierrez (D) vs Alex Mealer (R),TX-09,Leticia Gutierrez,Alex Mealer,R+11.5,11.5,Safe R,5,Y,95,TX-09,Safe R,-4.0
Caitlin Rourk (D) vs Chris Gober (R),TX-10,Caitlin Rourk,Chris Gober,R+14.0,14.0,Safe R,2,N,98,TX-10,Safe R,-4.0
Claire Reynolds (D) vs August Pfluger (R),TX-11,Claire Reynolds,August Pfluger,R+29.2,29.2,Safe R,0,N,100,TX-11,Safe R,-4.0
Angela Rodriguez (D) vs Craig Goldman (R),TX-12,Angela Rodriguez,Craig Goldman,R+20.0,20.0,Safe R,0,N,100,TX-12,Safe R,-4.0
Mark Nair (D) vs Ronny Jackson (R),TX-13,Mark Nair,Ronny Jackson,R+39.4,39.4,Safe R,0,N,100,TX-13,Safe R,-4.0
Thurman Bartie (D) vs Randy Weber (R),TX-14,Thurman Bartie,Randy Weber,R+19.5,19.5,Safe R,0,N,100,TX-14,Safe R,-4.0
Bobby Pulido (D) vs Monica De La Cruz (R),TX-15,Bobby Pulido,Monica De La Cruz,R+1.1,1.1,Tossup,43,N,57,TX-15,Tossup,0.0
Veronica Escobar (D) vs Adam Bauman (R),TX-16,Veronica Escobar,Adam Bauman,D+32.9,-32.9,Safe D,100,N,0,TX-16,Safe D,4.0
Casey Shepard (D) vs Pete Sessions (R),TX-17,Casey Shepard,Pete Sessions,R+16.9,16.9,Safe R,1,N,99,TX-17,Safe R,-4.0
Christian Menefee (D) vs Ronald Whitfield (R),TX-18,Christian Menefee,Ronald Whitfield,D+70.9,-70.9,Safe D,100,N,0,TX-18,Safe D,4.0
Kyle Rable (D) vs Tom Sell (R),TX-19,Kyle Rable,Tom Sell,R+43.5,43.5,Safe R,0,N,100,TX-19,Safe R,-4.0
Joaquin Castro (D) vs Edgardo Rafael Baez (R),TX-20,Joaquin Castro,Edgardo Rafael Baez,D+49.1,-49.1,Safe D,100,N,0,TX-20,Safe D,4.0
Kristin Hook (D) vs Mark Teixeira (R),TX-21,Kristin Hook,Mark Teixeira,R+13.3,13.3,Safe R,3,N,97,TX-21,Safe R,-4.0
Marquette Greene-Scott (D) vs Trever Nehls (R),TX-22,Marquette Greene-Scott,Trever Nehls,R+13.6,13.6,Safe R,2,N,98,TX-22,Safe R,-4.0
Katy Padilla Stout (D) vs Brandon Herrera (R),TX-23,Katy Padilla Stout,Brandon Herrera,R+4.9,4.9,Lean R,23,N,77,TX-23,Lean R,-2.0
Kevin Burge (D) vs Beth Van Duyne (R),TX-24,Kevin Burge,Beth Van Duyne,R+12.0,12.0,Safe R,4,N,96,TX-24,Safe R,-4.0
Dione Sims (D) vs Roger Williams (R),TX-25,Dione Sims,Roger Williams,R+17.7,17.7,Safe R,1,N,99,TX-25,Safe R,-4.0
Steven Shook (D) vs Brandon Gill (R),TX-26,Steven Shook,Brandon Gill,R+20.3,20.3,Safe R,0,N,100,TX-26,Safe R,-4.0
Tanya Lloyd (D) vs Michael Cloud (R),TX-27,Tanya Lloyd,Michael Cloud,R+15.3,15.3,Safe R,1,N,99,TX-27,Safe R,-4.0
Henry Cuellar (D) vs Tano Tijerina (R),TX-28,Henry Cuellar,Tano Tijerina,D+10.8,-10.8,Likely D,94,N,6,TX-28,Likely D,3.0
Sylvia Garcia (D) vs Martha Fierro (R),TX-29,Sylvia Garcia,Martha Fierro,D+51.2,-51.2,Safe D,100,N,0,TX-29,Safe D,4.0
Frederick Haynes III (D) vs Everett Jackson (R),TX-30,Frederick Haynes III,Everett Jackson,D+60.2,-60.2,Safe D,100,N,0,TX-30,Safe D,4.0
Justin Early (D) vs John Carter (R),TX-31,Justin Early,John Carter,R+16.8,16.8,Safe R,1,N,99,TX-31,Safe R,-4.0
Dan Barros (D) vs Jace Yarbrough (R),TX-32,Dan Barros,Jace Yarbrough,R+10.6,10.6,Likely R,6,Y,94,TX-32,Likely R,-3.0
Colin Allred (D) vs Patrick Gillespie (R),TX-33,Colin Allred,Patrick Gillespie,D+47.7,-47.7,Safe D,100,N,0,TX-33,Safe D,4.0
Vicente Gonzalez (D) vs Eric Flores (R),TX-34,Vicente Gonzalez,Eric Flores,D+5.1,-5.1,Lean D,78,N,22,TX-34,Lean D,2.0
Johnny Garcia (D) vs Carlos De La Cruz (R),TX-35,Johnny Garcia,Carlos De La Cruz,D+0.8,-0.8,Tossup,54,N,46,TX-35,Tossup,0.0
Rhonda Hart (D) vs Brian Babin (R),TX-36,Rhonda Hart,Brian Babin,R+19.3,19.3,Safe R,0,N,100,TX-36,Safe R,-4.0
Greg Casar (D) vs Lauren Peña (R),TX-37,Greg Casar,Lauren Peña,D+71.7,-71.7,Safe D,100,N,0,TX-37,Safe D,4.0
Melissa McDonough (D) vs Jon Bonck (R),TX-38,Melissa McDonough,Jon Bonck,R+13.2,13.2,Safe R,3,N,97,TX-38,Safe R,-4.0
Ben McAdams (D) vs Riley Owen (R),UT-01,Ben McAdams,Riley Owen,D+37.9,-37.9,Safe D,100,Y,0,UT-01,Safe D,4.0
Peter Crosby (D) vs Blake Moore (R),UT-02,Peter Crosby,Blake Moore,R+30.0,30.0,Safe R,0,N,100,UT-02,Safe R,-4.0
Kent Udell (D) vs Celeste Maloy (R),UT-03,Kent Udell,Celeste Maloy,R+40.5,40.5,Safe R,0,N,100,UT-03,Safe R,-4.0
Jonny Larsen (D) vs Mike Kennedy (R),UT-04,Jonny Larsen,Mike Kennedy,R+35.7,35.7,Safe R,0,N,100,UT-04,Safe R,-4.0
Shannon Taylor (D) vs Rob Wittman (R),VA-01,Shannon Taylor,Rob Wittman,D+0.6,-0.6,Tossup,53,Y,47,VA-01,Tossup,0.0
Elaine Luria (D) vs Jen Kiggans (R),VA-02,Elaine Luria,Jen Kiggans,D+5.5,-5.5,Lean D,79,Y,21,VA-02,Lean D,2.0
Bobby Scott (D) vs Edwin Rivera (R),VA-03,Bobby Scott,Edwin Rivera,D+51.3,-51.3,Safe D,100,N,0,VA-03,Safe D,4.0
Jennifer McClellan (D) vs Robert Murray (R),VA-04,Jennifer McClellan,Robert Murray,D+48.1,-48.1,Safe D,100,N,0,VA-04,Safe D,4.0
Tom Perriello (D) vs John McGuire (R),VA-05,Tom Perriello,John McGuire,R+5.4,5.4,Likely R,20,N,80,VA-05,Likely R,-3.0
Beth Macy (D) vs Ben Cline (R),VA-06,Beth Macy,Ben Cline,R+16.6,16.6,Safe R,1,N,99,VA-06,Safe R,-4.0
Eugene Vindman (D) vs Doug Ollivant (R),VA-07,Eugene Vindman,Doug Ollivant,D+19.5,-19.5,Safe D,100,N,0,VA-07,Safe D,4.0
Don Beyer (D) vs Tony Sabio (R),VA-08,Don Beyer,Tony Sabio,D+61.9,-61.9,Safe D,100,N,0,VA-08,Safe D,4.0
Joy Powers (D) vs Morgan Griffith (R),VA-09,Joy Powers,Morgan Griffith,R+38.4,38.4,Safe R,0,N,100,VA-09,Safe R,-4.0
Suhas Subramanyam (D) vs Dave Beckwith (R),VA-10,Suhas Subramanyam,Dave Beckwith,D+20.5,-20.5,Safe D,100,N,0,VA-10,Safe D,4.0
James Walkinshaw (D) vs Arthur Purves (R),VA-11,James Walkinshaw,Arthur Purves,D+48.9,-48.9,Safe D,100,N,0,VA-11,Safe D,4.0
Becca Balint (D) vs Gerald Malloy (R),VT-AL,Becca Balint,Gerald Malloy,D+44.3,-44.3,Safe D,100,N,0,VT-AL,Safe D,4.0
Suzan DelBene (D) vs Eventual Nominee (R),WA-01,Suzan DelBene,Eventual Nominee,D+37.4,-37.4,Safe D,100,N,0,WA-01,Safe D,4.0
Rick Larsen (D) vs Edwin Feller (R),WA-02,Rick Larsen,Edwin Feller,D+35.3,-35.3,Safe D,100,N,0,WA-02,Safe D,4.0
Marie Gluesenkamp Perez (D) vs John Braun (R),WA-03,Marie Gluesenkamp Perez,John Braun,D+8.9,-8.9,Likely D,90,N,10,WA-03,Likely D,3.0
John Duresky (D) vs Amanda McKinney (R),WA-04,John Duresky,Amanda McKinney,R+16.2,16.2,Safe R,1,N,99,WA-04,Safe R,-4.0
Carmela Conroy (D) vs Michael Baumgartner (R),WA-05,Carmela Conroy,Michael Baumgartner,R+15.1,15.1,Safe R,2,N,98,WA-05,Safe R,-4.0
Emily Randall (D) vs Teresa Fox (R),WA-06,Emily Randall,Teresa Fox,D+29.6,-29.6,Safe D,100,N,0,WA-06,Safe D,4.0
Pramila Jayapal (D) vs Nirav Sheth (R),WA-07,Pramila Jayapal,Nirav Sheth,D+80.8,-80.8,Safe D,100,N,0,WA-07,Safe D,4.0
Kim Schrier (D) vs Eventual Nominee (R),WA-08,Kim Schrier,Eventual Nominee,D+17.3,-17.3,Safe D,99,N,1,WA-08,Safe D,4.0
Adam Smith (D) vs Doug Basler (R),WA-09,Adam Smith,Doug Basler,D+51.3,-51.3,Safe D,100,N,0,WA-09,Safe D,4.0
Marilyn Strickland (D) vs Eventual Nominee (R),WA-10,Marilyn Strickland,Eventual Nominee,D+28.2,-28.2,Safe D,100,N,0,WA-10,Safe D,4.0
Mitchell Berman (D) vs Bryan Steil (R),WI-01,Mitchell Berman,Bryan Steil,R+6.5,6.5,Likely R,16,N,84,WI-01,Likely R,-3.0
Mark Pocan (D),WI-02,Mark Pocan,Not Contested,D+100.0,-100.0,Safe D,100,N,0,WI-02,Safe D,4.0
Rebecca Cooke (D) vs Derrick Van Orden (R),WI-03,Rebecca Cooke,Derrick Van Orden,D+1.1,-1.1,Tossup,57,Y,43,WI-03,Tossup,0.0
Gwen Moore (D) vs Tim Rogers (R),WI-04,Gwen Moore,Tim Rogers,D+62.5,-62.5,Safe D,100,N,0,WI-04,Safe D,4.0
Andrew Beck (D) vs Scott Fitzgerald (R),WI-05,Andrew Beck,Scott Fitzgerald,R+23.4,23.4,Safe R,0,N,100,WI-05,Safe R,-4.0
Brad Smith (D) vs Glenn Grothman (R),WI-06,Brad Smith,Glenn Grothman,R+15.9,15.9,Safe R,1,N,99,WI-06,Safe R,-4.0
Fred Clark (D) vs Michael Alfonso (R),WI-07,Fred Clark,Michael Alfonso,R+18.5,18.5,Safe R,1,N,99,WI-07,Safe R,-4.0
Rick Crosson (D) vs Tony Wied (R),WI-08,Rick Crosson,Tony Wied,R+14.6,14.6,Safe R,2,N,98,WI-08,Safe R,-4.0
Vince George (D) vs Carol Miller (R),WV-01,Vince George,Carol Miller,R+36.1,36.1,Safe R,0,N,100,WV-01,Safe R,-4.0
Ace Parsi (D) vs Riley Moore (R),WV-02,Ace Parsi,Riley Moore,R+35.5,35.5,Safe R,0,N,100,WV-02,Safe R,-4.0
Lisa Kinney (D) vs Chuck Gray (R),WY-AL,Lisa Kinney,Chuck Gray,R+39.7,39.7,Safe R,0,N,100,WY-AL,Safe R,-4.0
